positivity,text
2,washington nov the labor department reported today that the economy created new jobs at brisk pace in october calming fears that it might have begun to skid toward recession in addition factory employment stabilized after plunging in september 
2,for one many consumers who as recently as last year were mostly worried about keeping their jobs are spending with abandon now with about three million jobs added tej the economy this year some of the anxiety about employment prospects has eased and disposable income after falling for several years running shows signs of starting to turn up the result big ticket buying has blown through every benchmark said stephen roach an economist at morgan stanley 
1,with the exception of minneapolis percent sales decrease all districts reported increases for the week the highest gain was percent in the dallas district in the chicago district store sales were unchanged 
1,mr peterson who is president of the chicago mortgage investment company urged that this country abandon the economic concepts that had guided the procedures and practices in the federal mortgage credit system during the last twenty five years he referred to these concepts as false premises that have misled us in their stead he offered program that would in his opinion adjust demand to available funds assure an equal distribution of credit among all users and meet the nation housing needs in the years ahead 
1,volume was shares the lowest since sept it compared with on monday of the issues traded fell rose and were unchanged there were twenty five new highs and seven new lows 
2,interest rates fell slightly yesterday as modest demand by investors was supplemented by federal reserve purchases on behalf of its customers 
1,the prime rate is the rate big banks charge big business corporations for loans it is the lowest rate for unsecured business loans and other loan rates are scaled upward from it the last change in this rate occurred on aug when it was lowered from to percent 
1,that gov bill clinton economic program is based on reckless taxing and spending are predictable more important are the concerns of moderates that the blueprint is less substantive than it first seemed that unlike ross perot program it would do little to reduce the federal deficit 
1, the jump in producer prices does not indicate that inflation is suddenly coming back as major problem said lynn reaser senior vice president and chief economist for first interstate bancorp in los angeles 
0,other short term interest rates including federal national mortgage association notes commercial paper and bankers acceptances were lowered for the first time this year federal funds overnight inter bank loans of excess reserves at the central bank traded at rate no higher than percent 
0,i am not attending meetings where we talk about how to get out of the recession and insure strong recovery said representative lee hamilton democrat of indiana 
0,in san francisco at least million must be chopped from million budget which may mean closing two schools canceling interscholastic sports and shortening the junior high school day to five periods by eliminating elective courses in los angeles where the gap is million in billion budget more than of its teachers have received layoff notices out of sent statewide 
0,equally important buyers will not spend so long in situation that limits their ability to trade for another car with many longer term loans the financing term for some luxury cars can be as long as eight years the
1,the increase in the rate was designed chiefly to reduce the discount points that nowmust be paid by home seller to buyer with an h or v mortgage points that the seller tries to recoup by raising the price of the house for savers the ceiling on ordinary passbook accounts will rise to percent for commercial banks from the present percent and it will go to percent from percent for the thrift institutions for the various types of savings certificateswhere the money can be withdrawn before maturity only with penaltythe ceilings will increase in amounts ranging from one quarter to three quarters of apercentage point some certificates will now have ceiling rate of as high as percent 
1,at the same time investors would be able to get record yields on the money they lend the cityperhaps as much as percent or more 
1,the bulk of the advances were posted in the first two hours of trading prices slipped bit during the noon hour and in the final minutes when rush of orders had the exchange ticker tape running three minutes late 
2,on the power of those massive propellants the market took off on high flying orbit that saw the leading stock averages at their apogee reach new highssome of them at peaks for the last two years and others at historic levels 
0,though the disagreement fs largely theoretical now it makes it likely that the nation two top central bankers would take different positions on interest rates if unemployment rose who wins will affect the interest rates that americans pay on credit cards car loans and home mortgages 
0,moorestown j since its last gubernatorial election new jer sey unemployment rate has nearly doubled its home foreclosure rate has soared and its famously scary property tax rate has bulged and raged like the incredible hulk into something even scarier now on the eye of another election chance to redirect or reamrm tne policies or their fiscally imperiled state my students at the camden campus of rutgers university have one thing on their minds phillies baseball 
1,it is reasonable in the present economic plight of the nation to control the supply of money and credit and to raise the cost of borrowing money to build house beyond the means of most families but it is obvious nonsense to suggest that this will not reduce the number of houses built or the number of jobs required to build them 
0,the recovery was shortlived and by noon prices began drifting lower on profit taking and from lack of favorable news developments the downward trend continued until m when some bargain hunting developed and prices finned until the last hour of trading when they began to ease again 
1,another sign that the recession is receding in sense we re sort of leading economic indicator says james coyne president of the national air transportation association major industry trade group right now that indicator is remarkably robust since the beginning of business aviation growth has been especially encouraging harbinger of the recession end 
1,these increased borrowings were offset only in part by net repayments of loans by retail stores rising seasonal sales enabled these borrowers to liquidate part of their inventory borrowings 
2,a dramatic wave of buying surged into the stock market yesterday and drove prices sharply higher in the heaviest trading in more than five months 
2,ending of the excess profits tax and percent cut in individual income taxes will come through the first of the year as scheduled according to george humphrey secretary of the treasury while he is not pessimistic on the business outlook he does expect some soft spots to develop in the coming months it is his belief that if any readjustments are to be made it would be best for the country if one industry at time were involved and not all industries at the same time 
1,two months ago when the federal reserve imposed controls on consumer credit as an anti inflation measure economists generally brushed off these restrictions as largely symbolic the controls they predicted would be too limited in scope to have any real bite 
1, points at the average posted its high for the session at m when it was ahead points 
2,govrnment securities held in custody by the federal reserve banks tor foreign account were an increase of to the week and an increase of from the comparable day year ago 
1,early in the day bond prices were weak and yields were higher after the commerce department announced that retail sales in may were down by eight tenths of percentage point while sales in april were revised sharply upward to show rise of percent 
1,that reluctance is very much in evidence now until february the economy was robust the fed response given its visceral hatred of inflation was to slow it down by doubling interest rates in the space of year the slowdown came and the urgency to act disappeared although by law the fed is supposed to be as quick to maintain jobs as to control inflation 
1,he said that with demand ipressing closer against the economy capacity price increases were now more likely but he declared that the prospect was that rates of unemployment and capacity utilization will change only slightly from the present in the year ahead 
2,in fact policies aimed at facilitating an outflow of capital particularly to the developing and smaller industrialized countries would contribute more to the dollar long run defense 
1,the defense department the president said is the only department in our entire program that will actually be increased over the present budgeted figure his increases combined with those proposed by former president carter mean that defense spending will rise billion from to with tax reductions exceeding cuts in social spending the defense increases will push the federal budget even further into the red 
0,there is scarcely an economist anywhere now who does not believe that proper amount of tax reduction administered at the right time can reverse downward spiral it is simply matter of getting the recovery process going 
1,nevertheless the labor department employment and unemployment statistics did show continuing small improvement in the job picture during january 
1,a combination of fears and rumors all creating psychological effect on market followers seemed to sweep financial circles at the start of the last hour there was nothing tangible to the mixture of reports but sellers seemed to act in unison 
0,mr connally testified on trade and financial matters and disclosed no new policies or attitudeson the same day that the commerce department reported record deficit in the balance of international payments in the first quarter as measured on the official settlements basis 
1,but no bank did spectacularly well it was the first time in the quarters that the new york times has been tabulating these quarterly results that no member of the group earned return of more than cents in most quarters at least one of the companies reported return of more than cents 
1,alan greenspan chairman of the president council of economic advisers said last friday that he expected the unemployment rate to reach its peak in the next several months at level modestly above percent and then begin heading downward 
1,volume for the week came to shares the smallest in three weeks as measured by the new york times combined average the market wiped out about percent of the preceding week losses the fifty stock average closed at up points on the week 
2,grant advertising is the parent of grant advertising international inc which began going public in it was the third american agency to take the step and the other day in chicago mr grant issued report on the most successful new business year in history 
0,there is no doubt that the soaring prices of meat brought inflation home to the american public the nation women protested meat prices almost as angrily as if actual hunger faced them 
1,arthur burns chairman of the federal reserve board and the chief architect of the fed tight money policy said he thought the current percent growth rate in the nation money supply was still loo high he promised the house banking and currency committee to maintain restrictive policy on monetary growth until inflation had cooled 
2,some investors appeared to regard technology stocks as being less at risk of slumping demand should the economy falter apple rose to another record while research in motion hit week high 
1,corrections are normal in bull markets and are usually not fatal but investors have few reasons for worry including the pace of dob creation in the united states and the recent terrorist attack in spain 
0,the retailers thrget and lowe trimmed their expectations for the year because of slowing sales while the home builder lennar posted fiscal third quarter loss and sharply lower revenue 
2,that belief was buttressed on wednesday when zenithoptlmedla part of the publicis groupe raised its forecast for growth in global ad spending this year to percent gain over compared with an increase of percent that the agency had predicted in december 
1,washington may through the cruel lens of hindsight history seems likely to fault president carter council of economic advisers for underestimating the strength of the economy two years running and for underestimating the virulence of an inflation that has accelerated to double digit pace 
0,washington june it is doubtful that president nixon or any member of his economic team believes that the new inflation alert system he announced today will have an early or large effect in slowing the rise in prices nonetheless it is an innovation not tried in this precise form in any other country and nearly all indus news trial countries
2,the hopes of investors that interest rates may finally have peaked helped the stock market post its second consecutive broad advance yesterday in the heaviest trading in almost three months 
2,good economic news is negative for the fixed income securities market as it raises the specter of higher inflation and interest rates on newer issues 
1,stock market activity on the big new york exchanges remains major influence on the trading pace and price movements of the nation regional exchanges but the regional markets are still no mirror image of the big new york boards 
0,the standard poor index of stocks fell points or percent to as it fell below for the first time since october and became the first major american index to fall below the lows reached this spring 
1,federal deficits are projected at billion year into an indefinite future president reagan said recently that congress is to blame 
0,there was no indication that the rise was the start of new long term increase in price lev els according to robert myers deputy commissioner of the department bureau of labor statistics 
2,the consensus of american business forecasters is that will be relatively good year with real gross national producttotal output corrected for inflationrisine by percent 
1, first it grants two stage fare increaseless than the industry asked but more than most observers expected worth anywhere between million and million in annual revenues depending on the course of the economy and the still more unpredictable effect of price changes on traffic volume 
1,a wave of computerized program selling contributed to the market drop and by the close of trading the dow jones industrial average had fallen points or percent finishing at the point drop in the dow was the biggest since march when it fell points and left the blue chip index at its lowest closing level since feb 
0,the rise has not yet affected consumers or even business borrowers from banks but it is causing concern in the administration which fears that as consequence of higher rates and their indirect effects the housing industry will suffer second heavy blow in two years thus lessening the chances of vigorous upturn in tha aeon oni in the second half of the year and this will lead to increased pressure for tax increase this year 
0,the barrage of corporate takeovers in enriched stockholders of the acquired companies and helped the stock market climb to record but there is growing evidence that shareholders of the surviving companies are no better off and that bondholders on both sides are often big losers 
1,president bush who had spent recent days trying to calm the nation delivered the message again just before noon 
0,yesterday afternoon the billion increase in the narrow money supply and the billion rise in the broader money stock helped accentuate the slide in bond prices 
0,this is terribly inconvenient time to have rates pulled up said lawrence veit an economist at brown brothers harriman company 
1,the combined averages of the new york times index set new low for the current reactionary movement with bottom rate of while the final figure of represented net inroad of points the late assault forced the ticker tape to fall as much as six minutes behind floor transactions with smaller delays at other moments with total of individual stocks traded 
0,the last time the fed policy making panel the federal open market committee adjusted rates was to lower the federal funds rate an overnight lending rate by quarter of percentage point in january the move was regarded as an insurance policy against the possibility of recession which disappeared quickly with the approach of spring 
2,in the year earlier week there was an increase of since mid business loans have registered an increase of compared with rise of for the year to date the net rise has amounted to for the corresponding period of the increase was on wednesday total business loans outstanding amounted to against year earlier 
1,november shortly before the last time the federal reserve raised short term interest rates year treasury bonds yielded percent now they yield percent 
1,the american telephone and telegraph company offered million of year debentures with yield of percent yesterday while m plans to offer billion of preferred stock with yield of percent today 
0,wien an investment strategist at morgan stanley dean witter even with the recent rally in stocks he said the word deflation is still on everybody lips 
1,indeed rising prices instead of abetting inflation tend to restrain the malady or even to entrain its oppositedeflation if the supply of money is not increased the higher priced but unenlarged supply of goods and services would in time press
1,jack regan chief derivative strategist at josephthal lyon ross said volume was on the light side as the five year auction went bit better than expected with good bid to cover ratio of to 
0,the stock market absorbed relentless drubbing yesterday and closed in its broadest decline in more than months the selling appeared indiscriminate and swept through virtually all sectors 
0,there was no panicky selling on wall street but there was an abundance of bearishness and liquidation as the market averages plunged to their sharpest losses in about four years 
1,strong differences remain over how to attack the budget issue and republican lawmakers said democrats would have to pay for their victory by taking the lead on an issue that has no politically popular solution 
0,the notes traded poorly after results of the auction were announced and were offered on when issued basis late yesterday at price to yield percent 
2,sharply rising exports in the first quarter produced the most spectacular improvement in the nation trade deficit in any quarter since the dollar began its decline in the commerce department said yesterday 
1,london feb alan greenspan the chairman of the federal reserve said on friday that america record trade deficit might be poised to stabilize and even fall because of market pressures and belt tightening by the bush administration 
1,at the low point the dow jones industrials read off for the day and nearly points in the two day slide traders were worried at that point because selling was heavy and on the dow was considered an important resistance level 
2,the credit markets recovered smartly from president nixon jolting vietnam address last monday night and managed steady performance in the face of the mining of north vietnamese ports 
1,washington the inflation impact statement ford administration attempt to systematically estimate the cost of regulations before they were imposed is alive and well in the federal establishment of president carter 
1,in general results were good and in line with most industry expectations said christopher demisch aerospace industry analyst at the first boston corporation mr demisch noted that the company had continued growth in the automotive and building and construction operations and sales gains at its carrier air conditioner otis elevator essex wire and cable inmont automotive paint and hamilton standard electronic controls divisions 
1,washington frequently over the years william mcchesney martin jr the perennial chairman of the federal reserve board has told critical and disbelieving congressmen don make interest rates 
0,long term interest rates soared yesterday as prices of treasury bonds plunged in what dealers called most confused session the confusion stemmed from outwardly conflicting government employment data for april 
0,over the white house the bill is still deeply flawed an rebate which would have brought about welcome low earlier version which set unattainable targets for the ering of unemployment without serious risk of greater
1,in new york city the overall standard unemployment rate is percent but in east harlem the unemployment rate is percent and the subemployment rate is percent in central harlem percent were unemployed and percent were listed as sudempioyeu in bedford stuyvesant in brooklyn the figures were percent and percent 
1,it a little like rewriting the bible dow jones company changed the make up of the stock dow jones industrial average to better reflect the economic importance of services and the entertainment industry it added the walt disney company p morgan company and caterpillar inc the most stocks changed since when four were replaced it removed the navistar international corporation the primerica corporation and the usx corporation from the list p morgan is the first bank to be included in the average even with the changes the dow still reflects industrial america most of stocks are in the manufacturing and resource sectors 
1,as the millennium rapidly approaches fashion is in fix and not about mundane matters like hemlines and silhouettes there are intimations of worldwide recession looming and fears that the k computer glitch will disrupt communication and transportation not to mention make it impossible to withdraw cab fare from bank machine in the early hours of new year day 
1,treasury bond prices tumbled yesterday as the government reported that unemployment in october nosed down bit 
1,there is not too wide spread among the inflationary expectations of the forecasts which were assembled by robert eggert former chief economist of the ford motor company who now heads his own economic consulting firm the highest rate is the percent price increase foreseen by becker securities and the lowest is the percent expected by the foreign investment banking firm of amhold bleichroeder inc 
2,the signs in utah have been most encouraging says mr mathews who cites the highest growth in three years in the goods producing sector of particular note are the primary metals aerospace and food manufacturing sectors according to mr mathews 
1,in universities the field of economics exists in fractious state labeled for want of better term post keynesian akin to the oddly drifting larger world we ve come to call post communist as in the external world divisive fundamentalism seems rife there are the old advocates of neoclassical synthesis monetarists new classicals neo and post keynesians neo institutionalists supply siders and several variant marxists cacophony in short in profession that for the preceding years had effectively spoken in one voice 
1,fluctuations of this size not uncommon in the market for industrials are something new among the bank stocks they inriirale contradictory views among the institutional investors who make up the bulk of the market for bank shares 
1,the declines in stock and bond prices in recent weeks are spreading the idea along main street that the postwar inflation is over and that business enterprise and the national economy must get used to living in world of stable money values and unflagging competition 
2,this month more than million people across the country will line up in banks and savings institutions coupon books in hand to make the first few deposits in their christmas club accounts 
1,as one indication of the flattening yield curve the five year note carried higher interest rate than the year bond or percent versus
1,new reports linking lung cancer and cigarette smoking affected the market from the outset after an opening in which united states steel and reynolds tobacco were down fractions on and shares respectively and royal dutch and st paul up fractions on similar blocks action centered in the cigarette makers by m the leaders in the group had lost to points 
1,the question is whether relatively sizable one shot tax benefit is more or less effective than smaller but more prolonged tax cuts 
0,westinghouse rose one point to after management forecast record results for and the likelihood of dividend increase at year end chrysler up to registered its gain despite fractional declines for both general motors and ford brokerage house with an important institutional following updated its earlier buy recommendation for chrysler 
2,still for most companies profits do count and the very persistence of rising profits has helped to convince investors that it does not matter if you pay bit much for stock based on current conditions better days and higher profits that are coming will more than offset that 
1,one week or even single day produces reasons for cheer but the very next period uncovers contrary data or assessments to chase the euphoria investors like businessmen don know what to expect next 
2,in support of his conclusion about interest rates mr wojnilower contended that the government anti inflation policy had succeeded 
1,the stock market moved higher yesterday although the rally was confined mainly to blue chip stocks and stocks tied to takeovers real or rumored 
1,now signs of creeping inflation in stool prices carried tlio stock market into now high ground for the year yesterday 
2,our views of the actual short term economic outlook for the united states are comfortable if not enthusiastic said albert sommers chief economist of the conference board and chairman of the forum he added however that there are many factors in the domestic and international economic environment that are genuine causes of concern such as the re emergence of business stagnation and the persistence of inflation around the world 
0,prices of treasury securities moved sharply lower and interest rates rose again yesterday pushed by continuing concerns about the middle east and the federal budget as well as disappointing auction of seven year treasury notes 
2,in another show of support corporations pledged to buy significant amounts of their shares and the big brokerage firms refrained from issuing negative investment opinions on individual companies
2,the percent growth rate while the slowest pace since the second quarter of was still considered healthy economists said 
1,alan greenspan the chairman stopped short of actually declaring that he would raise interest rates saying that government economic indicators were not currently providing clear signal of future inflation 
2,the price of the year treasury bond rose its yield which moves in the opposite direction from price fell to percent from percent on friday since july the bond market rally has pushed the yield on the year bond down basis points basis point is one hundredth of percent 
1,interest rates were little changed yesterday while analysts remain sharply divided between those expecting interest rates to increase and those expecting them to decline 
2,the pattern of the market was almost the same as that of thursday stocks opened firm weakened and then made brisk rally in the closing minutes 
0,by conventional measures the s economy seems like should be overheating said james classman an economist at chase securities in new york but you have to have confirmation that there is inflation before you have problem to address and for the fed there no problem to address right now 
0,business loans at major banks in new york and chicago increased for the seventh week in row despite the fact that business borrowings typically decline during july 
2,the federal reserve announced yesterday that the nation basic money supply sell billion in the latest week decline that was close to economists forecasts and one that confirmed sharp slowing in money supply growth after rapid growth in early april 
1,underwriters led by salomon brothers said investor interest was strong enough to permit the lifting of trading restrictions on the issue at m on the first day of sales later in the day the year debentures were offered at the same as the original sale price 
0,when will corporate america wake up workers cannot give their most productive and creative performances within system that holds them in utter contempt take this job and love it jan the international business machines corporation has an annual review process that will assign failing grades to percent of its workers that b is not unique is an american disgrace corporate america has long tradition of beating up its workers and this tradition is responsible for much of the economic malaise infecting this country 
1,the reductions were the first break in the upward interest rate spiral that began in mid march when the prime rate stood at percent high interest rates have been blamed
0,new three and half year treasury notes sold at record yield of percent and bell system bonds at record percent some long term bond prices plunged more than points giant declines by the normal standards of the credit markets 
1, in fact the best available spending and tax estimates show that for this fiscal year allowing for the announced in creases for vietnam we may already be feeling the maximum expansionary pressures in re iation to supply to be expected from fiscal change 
1,it hardly secret anymore that collecting art can be an effective if sometimes risky way to keep ahead of inflation there another way of dealing in the art market however that can be doubly rewarding it the limited partnership in producing original art and it can offer protection from the tax man as well as from inflation 
1,economists were impressed not only by the unchanged prices for intermediate and crude goods but also by the sharp deceleration to rise of one tenth of percent in the finished goods index when the erratic food and energy components are excluded the october performance followed two months in which this so called core rate of inflation averaged six tenths of percent 
1,three of the five sessions this week produced sharp declines one had small losses and the other had small gains 
0,at the same time one of the economy key lagging indicators unemployment appears ready to flash some unpleasant figures when statistics for may are disclosed this friday they are likely to show unemployment at or above the percent level up from percent in the preceding month 
1,although conceding that there had been marked shakeout in soft goods lines the bankers declared that they were unconcerned over the development and were continuing their own activities in normal fashion without exercising any more than the usual caution 
1,the coordinated action though by no means assured would most likely involve raising the discount rate which the fed charges financial institutions for loans to percent from the current percent and reducing the bank of japan discount rate to percent from percent more modest reduction of west german interest rate might also be an element the officials said 
2,techniques of refinancing vary from issue to issue but the aim is usually the same reduce interest expenses by replacing high interest bonds with low interest bonds corporations benefit because reduced interest expenses mean higher profits and local governments and agencies benefit because lower interest costs mean more money for other uses or maybe even lower taxes 
2,for one many consumers who as recently as last year were mostly worried about keeping their jobs are spending with abandon now with about three million jobs added tej the economy this year some of the anxiety about employment prospects has eased and disposable income after falling for several years running shows signs of starting to turn up the result big ticket buying has blown through every benchmark said stephen roach an economist at morgan stanley 
